condition,seed,bucket,sense_class,dominant_route_expert,best_function_expert,dominant_route_ce_delta,max_ce_delta,route_function_alignment
flat_uniform,20260524,head,r_family_2,1,1,0.3912349861651213,0.3912349861651213,1.0
flat_uniform,20260524,head,r_family_3,1,1,0.042197372510296795,0.042197372510296795,1.0
flat_uniform,20260524,head,r_family_4,1,1,0.16086029071448138,0.16086029071448138,1.0
flat_uniform,20260524,head,r_family_5,1,1,0.10526522476842122,0.10526522476842122,1.0
flat_uniform,20260524,head,r_family_6,1,1,0.4051933103449604,0.4051933103449604,1.0
flat_uniform,20260524,head,r_family_7,1,1,0.15082451625615553,0.15082451625615553,1.0
flat_uniform,20260524,middle,A_family_0,2,2,0.14589268167158784,0.14589268167158784,1.0
flat_uniform,20260524,middle,A_family_1,2,2,0.39518229583033343,0.39518229583033343,1.0
flat_uniform,20260524,middle,A_family_2,2,2,0.015271745536059218,0.015271745536059218,1.0
flat_uniform,20260524,middle,A_family_3,2,2,0.17654517190142846,0.17654517190142846,1.0
flat_uniform,20260524,middle,A_family_4,2,2,0.17209837480489418,0.17209837480489418,1.0
flat_uniform,20260524,middle,A_family_5,2,2,0.7109354034261438,0.7109354034261438,1.0
flat_uniform,20260524,middle,A_family_6,2,2,0.5290283746168521,0.5290283746168521,1.0
flat_uniform,20260524,middle,A_family_7,1,2,0.0,0.20944585296274454,0.0
flat_uniform,20260524,middle,C_family_0,1,1,0.08397020449653307,0.08397020449653307,1.0
flat_uniform,20260524,middle,C_family_1,1,1,0.15321994801767383,0.15321994801767383,1.0
flat_uniform,20260524,middle,C_family_2,1,1,0.24288011926182662,0.24288011926182662,1.0
flat_uniform,20260524,middle,C_family_3,1,1,0.287128074410551,0.287128074410551,1.0
flat_uniform,20260524,middle,C_family_4,1,1,0.12861627053947206,0.12861627053947206,1.0
flat_uniform,20260524,middle,C_family_5,1,1,0.23727487261536834,0.23727487261536834,1.0
flat_uniform,20260524,middle,C_family_6,1,1,0.3847837221583177,0.3847837221583177,1.0
flat_uniform,20260524,middle,C_family_7,1,1,0.06507404967517989,0.06507404967517989,1.0
flat_uniform,20260524,middle,r_family_0,1,1,0.39966697968702647,0.39966697968702647,1.0
flat_uniform,20260524,middle,r_family_1,1,1,0.09982491498643262,0.09982491498643262,1.0
flat_uniform,20260524,middle,r_family_2,1,1,0.6527119771326397,0.6527119771326397,1.0
flat_uniform,20260524,middle,r_family_3,1,1,0.05295319059102136,0.05295319059102136,1.0
flat_uniform,20260524,middle,r_family_4,1,1,0.15097615047731475,0.15097615047731475,1.0
flat_uniform,20260524,middle,r_family_5,1,1,0.10815988044093199,0.10815988044093199,1.0
flat_uniform,20260524,middle,r_family_6,1,1,0.2880190394917008,0.2880190394917008,1.0
flat_uniform,20260524,middle,r_family_7,1,1,0.07648048767320384,0.07648048767320384,1.0
flat_uniform,20260524,tail,A_family_0,2,2,0.12622217940346067,0.12622217940346067,1.0
flat_uniform,20260524,tail,A_family_1,2,2,0.31881524741402245,0.31881524741402245,1.0
flat_uniform,20260524,tail,A_family_2,1,2,0.0,0.017279446590691805,0.0
flat_uniform,20260524,tail,A_family_3,2,2,0.2612455624463716,0.2612455624463716,1.0
flat_uniform,20260524,tail,A_family_4,2,2,0.1546342625564042,0.1546342625564042,1.0
flat_uniform,20260524,tail,A_family_5,2,2,0.6281395246041939,0.6281395246041939,1.0
flat_uniform,20260524,tail,A_family_6,2,2,0.34910791688829096,0.34910791688829096,1.0
flat_uniform,20260524,tail,A_family_7,2,2,0.2335614384804406,0.2335614384804406,1.0
flat_uniform,20260524,tail,C_family_0,0,1,0.0,0.06739529440528713,0.0
flat_uniform,20260524,tail,C_family_1,1,1,0.10691688496566105,0.10691688496566105,1.0
flat_uniform,20260524,tail,C_family_2,1,1,0.3007030802570322,0.3007030802570322,1.0
flat_uniform,20260524,tail,C_family_3,1,1,0.13119369341802667,0.13119369341802667,1.0
flat_uniform,20260524,tail,C_family_4,1,1,0.04823313276453216,0.04823313276453216,1.0
flat_uniform,20260524,tail,C_family_5,1,1,0.2726492087070559,0.2726492087070559,1.0
flat_uniform,20260524,tail,C_family_6,1,1,0.2903797817434679,0.2903797817434679,1.0
flat_uniform,20260524,tail,C_family_7,1,1,0.06712371300636732,0.06712371300636732,1.0
flat_uniform,20260524,tail,r_family_0,1,1,0.4097484221941462,0.4097484221941462,1.0
flat_uniform,20260524,tail,r_family_1,1,1,0.07700949266048458,0.07700949266048458,1.0
flat_uniform,20260524,tail,r_family_2,1,1,0.8199143579052665,0.8199143579052665,1.0
flat_uniform,20260524,tail,r_family_3,1,1,0.040742917374397315,0.040742917374397315,1.0
flat_uniform,20260524,tail,r_family_4,1,1,0.17050028928861138,0.17050028928861138,1.0
flat_uniform,20260524,tail,r_family_5,1,1,0.14449257198733298,0.14449257198733298,1.0
flat_uniform,20260524,tail,r_family_6,1,1,0.33101633215240633,0.33101633215240633,1.0
flat_uniform,20260524,tail,r_family_7,1,1,0.10467412063250474,0.10467412063250474,1.0
flat_zipfian,20260521,head,A_family_0,3,3,0.23423416940871297,0.23423416940871297,1.0
flat_zipfian,20260521,head,A_family_1,0,0,1.2158040946887922,1.2158040946887922,1.0
flat_zipfian,20260521,head,A_family_2,0,0,0.3709295288402548,0.3709295288402548,1.0
flat_zipfian,20260521,head,A_family_3,0,0,0.16609252730753118,0.16609252730753118,1.0
flat_zipfian,20260521,head,A_family_4,0,0,0.5493111042863651,0.5493111042863651,1.0
flat_zipfian,20260521,head,A_family_5,1,0,0.0,0.3722414456497063,0.0
flat_zipfian,20260521,head,A_family_6,1,0,0.0,1.7381953978037927,0.0
flat_zipfian,20260521,head,A_family_7,1,0,0.0,1.4537752557832089,0.0
flat_zipfian,20260521,head,C_family_0,3,3,0.1441814452888745,0.1441814452888745,1.0
flat_zipfian,20260521,head,C_family_1,1,1,0.0552056647441835,0.0552056647441835,1.0
flat_zipfian,20260521,head,C_family_2,1,1,6.605574644794008,6.605574644794008,1.0
flat_zipfian,20260521,head,C_family_3,1,1,1.0042001817867763,1.0042001817867763,1.0
flat_zipfian,20260521,head,C_family_4,1,1,0.3203957990905716,0.3203957990905716,1.0
flat_zipfian,20260521,head,C_family_5,1,1,0.1258241961343932,0.1258241961343932,1.0
flat_zipfian,20260521,head,C_family_6,1,1,0.14005088017741704,0.14005088017741704,1.0
flat_zipfian,20260521,head,C_family_7,1,1,2.1598137641364397,2.1598137641364397,1.0
flat_zipfian,20260521,head,r_family_0,3,3,0.023604465917742345,0.023604465917742345,1.0
flat_zipfian,20260521,head,r_family_1,1,1,0.34022017126032245,0.34022017126032245,1.0
