step,tokens,loss,model
4200,550502400,4.3147,old_baseline_4e_top1
4210,551813120,4.2927,old_baseline_4e_top1
4220,553123840,4.2679,old_baseline_4e_top1
4230,554434560,4.2125,old_baseline_4e_top1
4240,555745280,4.2284,old_baseline_4e_top1
4250,557056000,4.1988,old_baseline_4e_top1
4260,558366720,4.2249,old_baseline_4e_top1
4270,559677440,4.3333,old_baseline_4e_top1
4280,560988160,4.2487,old_baseline_4e_top1
4290,562298880,4.1488,old_baseline_4e_top1
4300,563609600,4.2647,old_baseline_4e_top1
4310,564920320,4.19,old_baseline_4e_top1
4320,566231040,4.221,old_baseline_4e_top1
4330,567541760,4.3024,old_baseline_4e_top1
4340,568852480,4.2806,old_baseline_4e_top1
4350,570163200,4.2594,old_baseline_4e_top1
4360,571473920,4.2469,old_baseline_4e_top1
4370,572784640,4.2419,old_baseline_4e_top1
4380,574095360,4.2292,old_baseline_4e_top1
4390,575406080,4.1719,old_baseline_4e_top1
4400,576716800,4.2232,old_baseline_4e_top1
4410,578027520,4.2004,old_baseline_4e_top1
4420,579338240,4.1795,old_baseline_4e_top1
4430,580648960,4.1682,old_baseline_4e_top1
4440,581959680,4.2168,old_baseline_4e_top1
4450,583270400,4.2623,old_baseline_4e_top1
4460,584581120,4.274,old_baseline_4e_top1
4470,585891840,4.2773,old_baseline_4e_top1
4480,587202560,4.1126,old_baseline_4e_top1
4490,588513280,4.1902,old_baseline_4e_top1
4500,589824000,4.2128,old_baseline_4e_top1
4510,591134720,4.2425,old_baseline_4e_top1
4520,592445440,4.2489,old_baseline_4e_top1
4530,593756160,4.2115,old_baseline_4e_top1
4540,595066880,4.1764,old_baseline_4e_top1
4550,596377600,4.1287,old_baseline_4e_top1
4560,597688320,4.1522,old_baseline_4e_top1
4570,598999040,4.1604,old_baseline_4e_top1
4580,600309760,4.2269,old_baseline_4e_top1
4590,601620480,4.148,old_baseline_4e_top1
4600,602931200,4.1023,old_baseline_4e_top1
4610,604241920,4.1064,old_baseline_4e_top1
4620,605552640,4.1807,old_baseline_4e_top1
4630,606863360,4.1773,old_baseline_4e_top1
4640,608174080,4.1778,old_baseline_4e_top1
4650,609484800,4.1622,old_baseline_4e_top1
4660,610795520,4.2332,old_baseline_4e_top1
4670,612106240,4.1174,old_baseline_4e_top1
4680,613416960,4.133,old_baseline_4e_top1
4690,614727680,4.1179,old_baseline_4e_top1
4700,616038400,4.1574,old_baseline_4e_top1
4710,617349120,4.2565,old_baseline_4e_top1
4720,618659840,4.2729,old_baseline_4e_top1
4730,619970560,4.2231,old_baseline_4e_top1
4740,621281280,4.1904,old_baseline_4e_top1
4750,622592000,4.2219,old_baseline_4e_top1
4760,623902720,4.1177,old_baseline_4e_top1
4770,625213440,4.2314,old_baseline_4e_top1
4780,626524160,4.1545,old_baseline_4e_top1
4790,627834880,4.1902,old_baseline_4e_top1
4800,629145600,4.1193,old_baseline_4e_top1
4810,630456320,4.1343,old_baseline_4e_top1
4820,631767040,4.1847,old_baseline_4e_top1
4830,633077760,4.184,old_baseline_4e_top1
4840,634388480,4.1418,old_baseline_4e_top1
4850,635699200,4.0978,old_baseline_4e_top1
4860,637009920,4.1348,old_baseline_4e_top1
4870,638320640,4.2339,old_baseline_4e_top1
4880,639631360,4.1271,old_baseline_4e_top1
4890,640942080,4.2179,old_baseline_4e_top1
4900,642252800,4.202,old_baseline_4e_top1
4910,643563520,4.1831,old_baseline_4e_top1
4920,644874240,4.1503,old_baseline_4e_top1
4930,646184960,4.0844,old_baseline_4e_top1
4940,647495680,4.2302,old_baseline_4e_top1
4950,648806400,4.1554,old_baseline_4e_top1
4960,650117120,4.2105,old_baseline_4e_top1
4970,651427840,4.1142,old_baseline_4e_top1
4980,652738560,4.1185,old_baseline_4e_top1
4990,654049280,4.0877,old_baseline_4e_top1
5000,655360000,4.168,old_baseline_4e_top1
5010,656670720,4.1676,old_baseline_4e_top1
5020,657981440,4.1966,old_baseline_4e_top1
5030,659292160,4.1545,old_baseline_4e_top1
5040,660602880,4.1192,old_baseline_4e_top1
5050,661913600,4.1045,old_baseline_4e_top1
5060,663224320,4.144,old_baseline_4e_top1
5070,664535040,4.1828,old_baseline_4e_top1
5080,665845760,4.1974,old_baseline_4e_top1
5090,667156480,4.2218,old_baseline_4e_top1
5100,668467200,4.1609,old_baseline_4e_top1
5110,669777920,4.1114,old_baseline_4e_top1
5120,671088640,4.0913,old_baseline_4e_top1
5130,672399360,4.1317,old_baseline_4e_top1
5140,673710080,4.1864,old_baseline_4e_top1
5150,675020800,4.1774,old_baseline_4e_top1
5160,676331520,4.0862,old_baseline_4e_top1
5170,677642240,4.0854,old_baseline_4e_top1
5180,678952960,4.0911,old_baseline_4e_top1
5190,680263680,4.0797,old_baseline_4e_top1
5200,681574400,4.1357,old_baseline_4e_top1
5210,682885120,4.1388,old_baseline_4e_top1
5220,684195840,4.1605,old_baseline_4e_top1
5230,685506560,4.1266,old_baseline_4e_top1
5240,686817280,4.1149,old_baseline_4e_top1
5250,688128000,4.0761,old_baseline_4e_top1
5260,689438720,4.0581,old_baseline_4e_top1
5270,690749440,4.1327,old_baseline_4e_top1
5280,692060160,4.0635,old_baseline_4e_top1
5290,693370880,4.1467,old_baseline_4e_top1
5300,694681600,4.1196,old_baseline_4e_top1
5310,695992320,4.0622,old_baseline_4e_top1
5320,697303040,4.1253,old_baseline_4e_top1
5330,698613760,4.1291,old_baseline_4e_top1
5340,699924480,4.1132,old_baseline_4e_top1
5350,701235200,4.1007,old_baseline_4e_top1
5360,702545920,4.1227,old_baseline_4e_top1
5370,703856640,3.9871,old_baseline_4e_top1
5380,705167360,4.0661,old_baseline_4e_top1
5390,706478080,4.115,old_baseline_4e_top1
5400,707788800,4.0763,old_baseline_4e_top1
5410,709099520,4.1415,old_baseline_4e_top1
5420,710410240,3.9883,old_baseline_4e_top1
5430,711720960,4.1784,old_baseline_4e_top1
5440,713031680,4.164,old_baseline_4e_top1
5450,714342400,4.0256,old_baseline_4e_top1
5460,715653120,4.0603,old_baseline_4e_top1
5470,716963840,4.0529,old_baseline_4e_top1
5480,718274560,3.989,old_baseline_4e_top1
5490,719585280,4.0912,old_baseline_4e_top1
5500,720896000,4.0327,old_baseline_4e_top1
5510,722206720,4.0854,old_baseline_4e_top1
5520,723517440,4.1594,old_baseline_4e_top1
5530,724828160,4.1123,old_baseline_4e_top1
5540,726138880,4.1015,old_baseline_4e_top1
5550,727449600,4.1232,old_baseline_4e_top1
5560,728760320,3.9741,old_baseline_4e_top1
5570,730071040,4.1355,old_baseline_4e_top1
5580,731381760,4.1886,old_baseline_4e_top1
5590,732692480,4.0695,old_baseline_4e_top1
5600,734003200,4.095,old_baseline_4e_top1
5610,735313920,4.0834,old_baseline_4e_top1
5620,736624640,4.1906,old_baseline_4e_top1
5630,737935360,4.0659,old_baseline_4e_top1
5640,739246080,4.0896,old_baseline_4e_top1
5650,740556800,4.0573,old_baseline_4e_top1
5660,741867520,4.048,old_baseline_4e_top1
5670,743178240,3.9955,old_baseline_4e_top1
5680,744488960,4.0845,old_baseline_4e_top1
5690,745799680,4.0859,old_baseline_4e_top1
5700,747110400,3.9705,old_baseline_4e_top1
5710,748421120,4.087,old_baseline_4e_top1
5720,749731840,4.0851,old_baseline_4e_top1
5730,751042560,4.0169,old_baseline_4e_top1
5740,752353280,4.0954,old_baseline_4e_top1
5750,753664000,4.0485,old_baseline_4e_top1
5760,754974720,3.955,old_baseline_4e_top1
5770,756285440,3.9658,old_baseline_4e_top1
5780,757596160,4.0041,old_baseline_4e_top1
5790,758906880,3.9952,old_baseline_4e_top1
5800,760217600,3.9833,old_baseline_4e_top1
5810,761528320,4.1091,old_baseline_4e_top1
5820,762839040,4.0256,old_baseline_4e_top1
5830,764149760,4.1419,old_baseline_4e_top1
5840,765460480,4.0776,old_baseline_4e_top1
5850,766771200,4.0333,old_baseline_4e_top1
