step,loss,tokens,model
3410,4.4827,446955520,old_baseline_4e_top1
3420,4.4604,448266240,old_baseline_4e_top1
3430,4.4052,449576960,old_baseline_4e_top1
3440,4.4865,450887680,old_baseline_4e_top1
3450,4.3219,452198400,old_baseline_4e_top1
3460,4.4224,453509120,old_baseline_4e_top1
3470,4.4432,454819840,old_baseline_4e_top1
3480,4.413,456130560,old_baseline_4e_top1
3490,4.4615,457441280,old_baseline_4e_top1
3500,4.4604,458752000,old_baseline_4e_top1
3510,4.3411,460062720,old_baseline_4e_top1
3520,4.4175,461373440,old_baseline_4e_top1
3530,4.3989,462684160,old_baseline_4e_top1
3540,4.4213,463994880,old_baseline_4e_top1
3550,4.4495,465305600,old_baseline_4e_top1
3560,4.4474,466616320,old_baseline_4e_top1
3570,4.4463,467927040,old_baseline_4e_top1
3580,4.4122,469237760,old_baseline_4e_top1
3590,4.4214,470548480,old_baseline_4e_top1
3600,4.3762,471859200,old_baseline_4e_top1
3610,4.419,473169920,old_baseline_4e_top1
3620,4.4085,474480640,old_baseline_4e_top1
3630,4.3521,475791360,old_baseline_4e_top1
3640,4.4553,477102080,old_baseline_4e_top1
3650,4.3703,478412800,old_baseline_4e_top1
3660,4.3057,479723520,old_baseline_4e_top1
3670,4.4793,481034240,old_baseline_4e_top1
3680,4.3975,482344960,old_baseline_4e_top1
3690,4.3317,483655680,old_baseline_4e_top1
3700,4.4254,484966400,old_baseline_4e_top1
3710,4.4113,486277120,old_baseline_4e_top1
3720,4.3497,487587840,old_baseline_4e_top1
3730,4.2773,488898560,old_baseline_4e_top1
3740,4.3204,490209280,old_baseline_4e_top1
3750,4.3073,491520000,old_baseline_4e_top1
3760,4.3354,492830720,old_baseline_4e_top1
3770,4.3883,494141440,old_baseline_4e_top1
3780,4.4032,495452160,old_baseline_4e_top1
3790,4.3707,496762880,old_baseline_4e_top1
3800,4.3928,498073600,old_baseline_4e_top1
3810,4.3187,499384320,old_baseline_4e_top1
3820,4.3071,500695040,old_baseline_4e_top1
3830,4.3722,502005760,old_baseline_4e_top1
3840,4.3664,503316480,old_baseline_4e_top1
3850,4.3393,504627200,old_baseline_4e_top1
3860,4.3839,505937920,old_baseline_4e_top1
3870,4.3912,507248640,old_baseline_4e_top1
3880,4.2936,508559360,old_baseline_4e_top1
3890,4.3384,509870080,old_baseline_4e_top1
3900,4.3162,511180800,old_baseline_4e_top1
3910,4.3521,512491520,old_baseline_4e_top1
3920,4.3621,513802240,old_baseline_4e_top1
3930,4.3066,515112960,old_baseline_4e_top1
3940,4.2677,516423680,old_baseline_4e_top1
3950,4.3289,517734400,old_baseline_4e_top1
3960,4.3307,519045120,old_baseline_4e_top1
3970,4.4097,520355840,old_baseline_4e_top1
3980,4.2959,521666560,old_baseline_4e_top1
3990,4.3278,522977280,old_baseline_4e_top1
4000,4.3231,524288000,old_baseline_4e_top1
4010,4.3298,525598720,old_baseline_4e_top1
4020,4.3235,526909440,old_baseline_4e_top1
4030,4.202,528220160,old_baseline_4e_top1
4040,4.2786,529530880,old_baseline_4e_top1
4050,4.251,530841600,old_baseline_4e_top1
4060,4.302,532152320,old_baseline_4e_top1
4070,4.2499,533463040,old_baseline_4e_top1
4080,4.3356,534773760,old_baseline_4e_top1
4090,4.334,536084480,old_baseline_4e_top1
4100,4.2645,537395200,old_baseline_4e_top1
4110,4.277,538705920,old_baseline_4e_top1
4120,4.3485,540016640,old_baseline_4e_top1
4130,4.3398,541327360,old_baseline_4e_top1
4140,4.2759,542638080,old_baseline_4e_top1
4150,4.2803,543948800,old_baseline_4e_top1
4160,4.2542,545259520,old_baseline_4e_top1
4170,4.3188,546570240,old_baseline_4e_top1
4180,4.339,547880960,old_baseline_4e_top1
4190,4.2386,549191680,old_baseline_4e_top1
4200,4.3147,550502400,old_baseline_4e_top1
4210,4.2927,551813120,old_baseline_4e_top1
4220,4.2679,553123840,old_baseline_4e_top1
4230,4.2125,554434560,old_baseline_4e_top1
4240,4.2284,555745280,old_baseline_4e_top1
4250,4.1988,557056000,old_baseline_4e_top1
4260,4.2249,558366720,old_baseline_4e_top1
4270,4.3333,559677440,old_baseline_4e_top1
4280,4.2487,560988160,old_baseline_4e_top1
4290,4.1488,562298880,old_baseline_4e_top1
4300,4.2647,563609600,old_baseline_4e_top1
4310,4.19,564920320,old_baseline_4e_top1
4320,4.221,566231040,old_baseline_4e_top1
4330,4.3024,567541760,old_baseline_4e_top1
4340,4.2806,568852480,old_baseline_4e_top1
4350,4.2594,570163200,old_baseline_4e_top1
4360,4.2469,571473920,old_baseline_4e_top1
4370,4.2419,572784640,old_baseline_4e_top1
4380,4.2292,574095360,old_baseline_4e_top1
4390,4.1719,575406080,old_baseline_4e_top1
4400,4.2232,576716800,old_baseline_4e_top1
4410,4.2004,578027520,old_baseline_4e_top1
4420,4.1795,579338240,old_baseline_4e_top1
4430,4.1682,580648960,old_baseline_4e_top1
4440,4.2168,581959680,old_baseline_4e_top1
4450,4.2623,583270400,old_baseline_4e_top1
4460,4.274,584581120,old_baseline_4e_top1
4470,4.2773,585891840,old_baseline_4e_top1
4480,4.1126,587202560,old_baseline_4e_top1
4490,4.1902,588513280,old_baseline_4e_top1
4500,4.2128,589824000,old_baseline_4e_top1
4510,4.2425,591134720,old_baseline_4e_top1
4520,4.2489,592445440,old_baseline_4e_top1
4530,4.2115,593756160,old_baseline_4e_top1
4540,4.1764,595066880,old_baseline_4e_top1
4550,4.1287,596377600,old_baseline_4e_top1
4560,4.1522,597688320,old_baseline_4e_top1
4570,4.1604,598999040,old_baseline_4e_top1
4580,4.2269,600309760,old_baseline_4e_top1
4590,4.148,601620480,old_baseline_4e_top1
4600,4.1023,602931200,old_baseline_4e_top1
4610,4.1064,604241920,old_baseline_4e_top1
4620,4.1807,605552640,old_baseline_4e_top1
4630,4.1773,606863360,old_baseline_4e_top1
4640,4.1778,608174080,old_baseline_4e_top1
4650,4.1622,609484800,old_baseline_4e_top1
4660,4.2332,610795520,old_baseline_4e_top1
4670,4.1174,612106240,old_baseline_4e_top1
4680,4.133,613416960,old_baseline_4e_top1
4690,4.1179,614727680,old_baseline_4e_top1
4700,4.1574,616038400,old_baseline_4e_top1
4710,4.2565,617349120,old_baseline_4e_top1
4720,4.2729,618659840,old_baseline_4e_top1
4730,4.2231,619970560,old_baseline_4e_top1
4740,4.1904,621281280,old_baseline_4e_top1
4750,4.2219,622592000,old_baseline_4e_top1
4760,4.1177,623902720,old_baseline_4e_top1
4770,4.2314,625213440,old_baseline_4e_top1
4780,4.1545,626524160,old_baseline_4e_top1
4790,4.1902,627834880,old_baseline_4e_top1
4800,4.1193,629145600,old_baseline_4e_top1
4810,4.1343,630456320,old_baseline_4e_top1
4820,4.1847,631767040,old_baseline_4e_top1
4830,4.184,633077760,old_baseline_4e_top1
4840,4.1418,634388480,old_baseline_4e_top1
4850,4.0978,635699200,old_baseline_4e_top1
4860,4.1348,637009920,old_baseline_4e_top1
4870,4.2339,638320640,old_baseline_4e_top1
4880,4.1271,639631360,old_baseline_4e_top1
4890,4.2179,640942080,old_baseline_4e_top1
4900,4.202,642252800,old_baseline_4e_top1
4910,4.1831,643563520,old_baseline_4e_top1
4920,4.1503,644874240,old_baseline_4e_top1
4930,4.0844,646184960,old_baseline_4e_top1
4940,4.2302,647495680,old_baseline_4e_top1
4950,4.1554,648806400,old_baseline_4e_top1
4960,4.2105,650117120,old_baseline_4e_top1
4970,4.1142,651427840,old_baseline_4e_top1
4980,4.1185,652738560,old_baseline_4e_top1
4990,4.0877,654049280,old_baseline_4e_top1
5000,4.168,655360000,old_baseline_4e_top1
5010,4.1676,656670720,old_baseline_4e_top1
5020,4.1966,657981440,old_baseline_4e_top1
5030,4.1545,659292160,old_baseline_4e_top1
5040,4.1192,660602880,old_baseline_4e_top1
5050,4.1045,661913600,old_baseline_4e_top1
5060,4.144,663224320,old_baseline_4e_top1
5070,4.1828,664535040,old_baseline_4e_top1
5080,4.1974,665845760,old_baseline_4e_top1
5090,4.2218,667156480,old_baseline_4e_top1
5100,4.1609,668467200,old_baseline_4e_top1
5110,4.1114,669777920,old_baseline_4e_top1
5120,4.0913,671088640,old_baseline_4e_top1
5130,4.1317,672399360,old_baseline_4e_top1
5140,4.1864,673710080,old_baseline_4e_top1
5150,4.1774,675020800,old_baseline_4e_top1
5160,4.0862,676331520,old_baseline_4e_top1
5170,4.0854,677642240,old_baseline_4e_top1
5180,4.0911,678952960,old_baseline_4e_top1
5190,4.0797,680263680,old_baseline_4e_top1
5200,4.1357,681574400,old_baseline_4e_top1
5210,4.1388,682885120,old_baseline_4e_top1
5220,4.1605,684195840,old_baseline_4e_top1
5230,4.1266,685506560,old_baseline_4e_top1
5240,4.1149,686817280,old_baseline_4e_top1
5250,4.0761,688128000,old_baseline_4e_top1
5260,4.0581,689438720,old_baseline_4e_top1
5270,4.1327,690749440,old_baseline_4e_top1
5280,4.0635,692060160,old_baseline_4e_top1
5290,4.1467,693370880,old_baseline_4e_top1
5300,4.1196,694681600,old_baseline_4e_top1
5310,4.0622,695992320,old_baseline_4e_top1
5320,4.1253,697303040,old_baseline_4e_top1
5330,4.1291,698613760,old_baseline_4e_top1
5340,4.1132,699924480,old_baseline_4e_top1
5350,4.1007,701235200,old_baseline_4e_top1
5360,4.1227,702545920,old_baseline_4e_top1
5370,3.9871,703856640,old_baseline_4e_top1
5380,4.0661,705167360,old_baseline_4e_top1
5390,4.115,706478080,old_baseline_4e_top1
5400,4.0763,707788800,old_baseline_4e_top1
5410,4.1415,709099520,old_baseline_4e_top1
5420,3.9883,710410240,old_baseline_4e_top1
5430,4.1784,711720960,old_baseline_4e_top1
5440,4.164,713031680,old_baseline_4e_top1
5450,4.0256,714342400,old_baseline_4e_top1
5460,4.0603,715653120,old_baseline_4e_top1
5470,4.0529,716963840,old_baseline_4e_top1
5480,3.989,718274560,old_baseline_4e_top1
5490,4.0912,719585280,old_baseline_4e_top1
5500,4.0327,720896000,old_baseline_4e_top1
5510,4.0854,722206720,old_baseline_4e_top1
5520,4.1594,723517440,old_baseline_4e_top1
5530,4.1123,724828160,old_baseline_4e_top1
5540,4.1015,726138880,old_baseline_4e_top1
5550,4.1232,727449600,old_baseline_4e_top1
5560,3.9741,728760320,old_baseline_4e_top1
5570,4.1355,730071040,old_baseline_4e_top1
5580,4.1886,731381760,old_baseline_4e_top1
5590,4.0695,732692480,old_baseline_4e_top1
5600,4.095,734003200,old_baseline_4e_top1
5610,4.0834,735313920,old_baseline_4e_top1
5620,4.1906,736624640,old_baseline_4e_top1
5630,4.0659,737935360,old_baseline_4e_top1
5640,4.0896,739246080,old_baseline_4e_top1
5650,4.0573,740556800,old_baseline_4e_top1
5660,4.048,741867520,old_baseline_4e_top1
5670,3.9955,743178240,old_baseline_4e_top1
5680,4.0845,744488960,old_baseline_4e_top1
