layer,head,representation,left_group,right_group,centroid_cosine,centroid_l2,left_centroid_norm,right_centroid_norm
0,2,value,score_top_1pct,score_top_90pct,0.9108544588088989,0.19215518236160278,0.45726191997528076,0.4526458978652954
0,2,value,score_tail_10pct,score_top_1pct,0.8371390700340271,0.2591174244880676,0.4504891633987427,0.45726191997528076
0,2,value,score_tail_10pct,score_top_90pct,0.9618324637413025,0.12478100508451462,0.4504891633987427,0.4526458978652954
0,2,weighted_value,score_top_1pct,score_top_90pct,0.17012035846710205,0.010029067285358906,0.0100737689062953,0.0002860534586943686
0,2,weighted_value,score_tail_10pct,score_top_1pct,0.40331193804740906,0.010073764249682426,4.8388457685177855e-09,0.0100737689062953
0,2,weighted_value,score_tail_10pct,score_top_90pct,0.10490035265684128,0.00028605241095647216,4.8388457685177855e-09,0.0002860534586943686
0,3,key,score_top_1pct,score_top_90pct,0.9785526394844055,9.985581398010254,46.881126403808594,48.41459655761719
0,3,key,score_tail_10pct,score_top_1pct,0.9547961950302124,14.81525707244873,49.7899169921875,46.881126403808594
0,3,key,score_tail_10pct,score_top_90pct,0.9922505021095276,6.26522159576416,49.7899169921875,48.41459655761719
0,3,value,score_top_1pct,score_top_90pct,0.9345896244049072,0.1727471798658371,0.4855772852897644,0.4560142755508423
0,3,value,score_tail_10pct,score_top_1pct,0.8622864484786987,0.2475133240222931,0.44686517119407654,0.4855772852897644
0,3,value,score_tail_10pct,score_top_90pct,0.9693797826766968,0.11208505183458328,0.44686517119407654,0.4560142755508423
0,3,weighted_value,score_top_1pct,score_top_90pct,0.08500207215547562,0.010275319218635559,0.010305261239409447,0.0004872470162808895
0,3,weighted_value,score_tail_10pct,score_top_1pct,0.00011339197953930125,0.010305261239409447,1.4281115352787754e-12,0.010305261239409447
0,3,weighted_value,score_tail_10pct,score_top_90pct,-1.496541472079116e-06,0.0004872470162808895,1.4281115352787754e-12,0.0004872470162808895
0,4,key,score_top_1pct,score_top_90pct,0.9976295232772827,64.0360107421875,215.4108428955078,277.1970520019531
0,4,key,score_tail_10pct,score_top_1pct,0.9956644177436829,174.94271850585938,388.2682800292969,215.4108428955078
0,4,key,score_tail_10pct,score_top_90pct,0.9994419813156128,111.61079406738281,388.2682800292969,277.1970520019531
0,4,value,score_top_1pct,score_top_90pct,0.852070689201355,0.5129087567329407,0.8142783641815186,0.4084877073764801
0,4,value,score_tail_10pct,score_top_1pct,-0.6637089848518372,1.223275899887085,0.5204209685325623,0.8142783641815186
0,4,value,score_tail_10pct,score_top_90pct,-0.24034219980239868,0.7347698211669922,0.5204209685325623,0.4084877073764801
0,4,weighted_value,score_top_1pct,score_top_90pct,0.677741527557373,0.010358551517128944,0.010478907264769077,0.00017881515668705106
0,4,weighted_value,score_tail_10pct,score_top_1pct,-0.0028513374272733927,0.010478907264769077,4.838555944797207e-11,0.010478907264769077
0,4,weighted_value,score_tail_10pct,score_top_90pct,-0.0014249057276174426,0.00017881517123896629,4.838555944797207e-11,0.00017881515668705106
0,5,key,score_top_1pct,score_top_90pct,0.998347818851471,43.956417083740234,236.13539123535156,277.55499267578125
0,5,key,score_tail_10pct,score_top_1pct,0.9967861175537109,154.2105255126953,388.42230224609375,236.13539123535156
0,5,key,score_tail_10pct,score_top_90pct,0.9995612502098083,111.29310607910156,388.42230224609375,277.55499267578125
0,5,value,score_top_1pct,score_top_90pct,0.8881232142448425,0.3607442378997803,0.6688429713249207,0.40523141622543335
0,5,value,score_tail_10pct,score_top_1pct,-0.6040083169937134,1.0591778755187988,0.5112794637680054,0.6688429713249207
0,5,value,score_tail_10pct,score_top_90pct,-0.2294774204492569,0.7216013073921204,0.5112794637680054,0.40523141622543335
0,5,weighted_value,score_top_1pct,score_top_90pct,0.13150858879089355,0.005234634969383478,0.005276294890791178,0.00048510637134313583
