layer,head,representation,component,singular_value,energy_ratio
0,14,key,1,8000.2099609375,0.9081087502338767
0,14,key,2,1483.635986328125,0.031231281738548618
0,14,key,3,838.8468627929688,0.009983905457469905
0,14,key,4,627.653076171875,0.005589518705320805
0,14,key,5,614.4047241210938,0.005356044579873015
0,14,key,6,412.6782531738281,0.002416341192638947
0,14,key,7,407.5941467285156,0.0023571703404455333
0,14,key,8,382.4820251464844,0.002075664467458438
0,14,value,1,28.925003051757812,0.04836426068250107
0,14,value,2,24.33100128173828,0.034221393465912076
0,14,value,3,21.333436965942383,0.0263086997393594
0,14,value,4,20.551902770996094,0.024416409481049943
0,14,value,5,19.685779571533203,0.022401802401726446
0,14,value,6,18.22463607788086,0.01919974479358092
0,14,value,7,16.670625686645508,0.01606502948043047
0,14,value,8,16.025447845458984,0.01484561100461542
0,14,weighted_value,1,2.3842735290527344,0.07218934818870591
0,14,weighted_value,2,2.26908802986145,0.06538282116885336
0,14,weighted_value,3,2.177205801010132,0.06019493250407259
0,14,weighted_value,4,2.14462947845459,0.05840708186895567
0,14,weighted_value,5,2.0882511138916016,0.055376615580224574
0,14,weighted_value,6,1.9097926616668701,0.04631625184197156
0,14,weighted_value,7,1.8896746635437012,0.04534558891315976
0,14,weighted_value,8,1.8415640592575073,0.04306600903954568
0,15,key,1,7941.896484375,0.9090401218968348
0,15,key,2,1470.777587890625,0.03117659019517549
0,15,key,3,824.6453857421875,0.009800970322936248
0,15,key,4,616.5709838867188,0.005478993348689537
0,15,key,5,607.9388427734375,0.005326652835707964
0,15,key,6,409.1478576660156,0.0024126547040086575
0,15,key,7,404.48760986328125,0.00235800680246635
0,15,key,8,377.3861999511719,0.0020526109331575376
0,15,value,1,28.977746963500977,0.05034733224542095
0,15,value,2,24.275875091552734,0.035334342985815746
0,15,value,3,20.991165161132812,0.026419240197168348
0,15,value,4,20.381624221801758,0.024907194508407282
0,15,value,5,19.378589630126953,0.022516016794692208
0,15,value,6,17.57250213623047,0.018514604593866564
0,15,value,7,16.518810272216797,0.016360808528940868
0,15,value,8,16.283184051513672,0.015897392449670134
0,15,weighted_value,1,2.554915428161621,0.08938438475961362
0,15,weighted_value,2,2.4345784187316895,0.0811626340732918
0,15,weighted_value,3,2.245931625366211,0.06907194072492637
0,15,weighted_value,4,2.0969178676605225,0.06021038969759362
0,15,weighted_value,5,2.0163028240203857,0.055669858094792954
0,15,weighted_value,6,1.9839303493499756,0.05389660876536995
0,15,weighted_value,7,1.853938341140747,0.04706511994096424
0,15,weighted_value,8,1.812520146369934,0.04498567926130399
1,0,key,1,1708.4384765625,0.38058114200331034
1,0,key,2,753.8839721679688,0.07410672103093542
1,0,key,3,534.4347534179688,0.0372424257866148
1,0,key,4,525.8514404296875,0.0360557648859881
1,0,key,5,453.0368347167969,0.02676181757244466
1,0,key,6,442.6278381347656,0.02554618343288138
1,0,key,7,418.8113098144531,0.022871011881840698
1,0,key,8,403.4811096191406,0.021227311370680135
1,0,value,1,35.740962982177734,0.08574950699007779
1,0,value,2,31.10795783996582,0.0649594195820569
1,0,value,3,23.77967643737793,0.037958672383515815
1,0,value,4,22.901525497436523,0.03520691378288312
1,0,value,5,20.046039581298828,0.026974679884394167
1,0,value,6,19.617464065551758,0.025833596021916774
1,0,value,7,18.306650161743164,0.02249660054723938
1,0,value,8,17.74107551574707,0.021128030804240736
1,0,weighted_value,1,2.006295680999756,0.16313138716445347
1,0,weighted_value,2,1.4366220235824585,0.08364359539287834
1,0,weighted_value,3,1.323573350906372,0.07099760219060014
